"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BDO Mobile/Online"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - BDO Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RW","Can be used anywhere (widely accepted, online and in-store)",134,75,59
"PV",,16.5025%,18.6104%,14.4254%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",108,50,58
"PV",,13.3005%,12.4069%,14.1809%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",111,51,60
"PV",,13.6700%,12.6551%,14.6699%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",132,68,64
"PV",,16.2562%,16.8734%,15.6479%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",115,62,53
"PV",,14.1626%,15.3846%,12.9584%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",120,57,63
"PV",,14.7783%,14.1439%,15.4034%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",117,61,56
"PV",,14.4089%,15.1365%,13.6919%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",114,62,52
"PV",,14.0394%,15.3846%,12.7139%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",106,56,50
"PV",,13.0542%,13.8958%,12.2249%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",125,67,58
"PV",,15.3941%,16.6253%,14.1809%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",95,47,48
"PV",,11.6995%,11.6625%,11.7359%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",109,60,49
"PV",,13.4236%,14.8883%,11.9804%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",95,48,47
"PV",,11.6995%,11.9107%,11.4914%
"MK",," "," "," "
"BL"
"RW","Not Associated",486,232,254
"PV",,59.8522%,57.5682%,62.1027%
"MK",," "," "," "
"BL"
"RW","Total Count",3338,1711,1627
"PV",,411.0837%,424.5658%,397.7995%
"MK",," "," "," "
"TE"
"TB","8"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - PayPal"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - PayPal"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",293,163,130
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",30,17,13
"PV",,10.2389%,10.4294%,10.0000%
